"id","ip_address","name","type","db_number","start_offset","bit_offset","size","read_allow","write_allow","frequency","group_id","created_at"
"43","192.168.0.3","16#设定速度","real","889","196","0","4","1","0","500","3","4/8/2025 17:41:25"
"44","192.168.0.3","17#设定速度","real","889","200","0","4","1","0","500","3","4/8/2025 17:41:25"
"45","192.168.0.3","18#设定速度","real","889","204","0","4","1","0","500","3","4/8/2025 17:41:25"
"46","192.168.0.3","1#辊径","real","889","208","0","4","1","0","500","3","4/8/2025 17:41:25"
"47","192.168.0.3","2#辊径","real","889","212","0","4","1","0","500","3","4/8/2025 17:41:25"
"48","192.168.0.3","3#辊径","real","889","216","0","4","1","0","500","3","4/8/2025 17:41:25"
"49","192.168.0.3","4#辊径","real","889","220","0","4","1","0","500","3","4/8/2025 17:41:25"
"50","192.168.0.3","5#辊径","real","889","224","0","4","1","0","500","3","4/8/2025 17:41:25"
"51","192.168.0.3","6#辊径","real","889","228","0","4","1","0","500","3","4/8/2025 17:41:25"
"52","192.168.0.3","7#辊径","real","889","232","0","4","1","0","500","3","4/8/2025 17:41:25"
"53","192.168.0.3","8#辊径","real","889","236","0","4","1","0","500","3","4/8/2025 17:41:25"
"54","192.168.0.3","9#辊径","real","889","240","0","4","1","0","500","3","4/8/2025 17:41:25"
"55","192.168.0.3","10#辊径","real","889","244","0","4","1","0","500","3","4/8/2025 17:41:25"
"56","192.168.0.3","11#辊径","real","889","248","0","4","1","0","500","3","4/8/2025 17:41:25"
"57","192.168.0.3","12#辊径","real","889","252","0","4","1","0","500","3","4/8/2025 17:41:25"
"58","192.168.0.3","13#辊径","real","889","256","0","4","1","0","500","4","4/8/2025 17:41:25"
"59","192.168.0.3","14#辊径","real","889","260","0","4","1","0","500","4","4/8/2025 17:41:25"
"60","192.168.0.3","15#辊径","real","889","264","0","4","1","0","500","4","4/8/2025 17:41:25"
"61","192.168.0.3","16#辊径","real","889","268","0","4","1","0","500","4","4/8/2025 17:41:25"
"62","192.168.0.3","17#辊径","real","889","272","0","4","1","0","500","4","4/8/2025 17:41:25"
"63","192.168.0.3","18#辊径","real","889","276","0","4","1","0","500","4","4/8/2025 17:41:25"
"64","192.168.0.3","棒一变棒三定尺","bool","889","0","2","1","1","0","500","4","15/8/2025 15:24:59"
"65","192.168.0.3","轧钢启用倍尺","bool","889","0","3","1","1","0","500","4","15/8/2025 15:26:07"
"66","192.168.0.3","触发信号","bool","889","0","3","1","1","0","500","4","4/9/2025 16:57:10"
"67","192.168.0.3","取样标志","int","889","40","0","2","1","0","500","4","4/9/2025 16:57:10"
